1,-4,4,-4,3,-6,4,7,8,8,-7,-6,0,-8,7,4,-4,-1,4,4,6,5,7,1,4,-1,-3,8,0,-4
-2,8,5,-1,-7,-4,4,-2,-3,1,6,8,6,6,0,5,-2,-6,-3,-4,7,6,5,2,7,-1,-1,1,4,-3
7,3,-3,-7,4,-5,1,3,-1,7,-7,3,8,5,-7,-8,7,0,3,0,-1,7,-5,-2,3,-6,5,-1,-6,-4
-8,-4,3,8,-3,2,-2,1,-5,-3,2,0,1,-7,-8,8,4,3,-5,-1,3,4,2,0,8,1,3,1,-2,-1
-3,-4,4,-7,-4,4,7,-1,-4,0,-7,2,5,1,-8,7,2,-6,-3,4,6,-1,-2,7,3,-7,5,3,-2,3
0,2,5,4,2,-4,2,-8,-6,-3,3,-1,-4,8,-5,7,-7,8,-4,-1,7,-2,3,-4,-7,-8,2,3,-5,-5
3,0,4,-3,7,5,-1,0,-3,-8,1,0,-8,-8,-8,8,4,0,-1,5,-5,5,2,-1,7,9,5,3,-2,0
-9,7,3,-6,8,-6,-7,8,1,-4,3,6,2,6,-1,8,7,-5,2,-2,6,6,-2,-5,-7,0,8,2,-8,-4
5,-4,-5,-2,8,-6,5,4,1,5,3,8,7,6,8,4,4,-1,3,-6,-3,-6,0,-5,5,-7,7,3,2,-1
0,8,3,-1,6,-5,-7,-5,0,-7,4,5,3,-3,-6,8,7,-2,-5,8,6,-3,5,-6,4,-5,-5,-6,-3,7
-5,2,4,4,-1,6,6,8,0,-2,5,5,-5,-5,7,-7,-2,1,-7,4,6,-7,4,-8,-1,-8,-7,5,-3,-1
-7,-7,-2,-5,-5,-1,-3,1,5,-2,8,-4,-3,-8,-2,6,-4,-4,-3,6,-4,6,0,9,5,7,2,5,-3,-6
-8,7,2,2,1,6,-1,1,-3,-7,-5,-3,-1,2,7,-7,-5,7,-2,-5,-1,1,1,4,2,-2,3,0,1,7
-1,8,5,1,-1,-12,1,-9,-4,12,10,-6,16,2,1,-3,4,-2,-1,0,-10,5,10,-7,8,6,10,0,6,-9
2,0,6,6,9,1,2,-1,2,-5,-3,-5,-5,-14,5,15,13,8,6,-3,0,-8,1,-3,7,10,4,-1,-1,1
2,8,-8,-4,0,3,-3,1,8,-6,-3,-3,8,-6,-7,-6,-5,-1,3,7,3,-8,0,6,6,3,-3,7,-4,5
5,0,-5,7,1,-7,-5,2,-5,7,-5,-4,-5,-9,-1,-7,-2,-8,-6,-7,-1,-1,2,-1,4,-3,-6,-4,-3,-7
-7,2,8,0,5,-7,7,-7,-1,-2,4,-7,-6,2,4,8,6,2,5,-6,-4,1,2,2,-6,2,7,8,3,-7
7,2,-4,-7,2,6,-5,8,3,6,-3,-2,-8,-4,2,4,3,3,-6,-4,8,7,6,6,8,3,6,-1,0,6
-3,-2,3,-5,-4,1,4,-6,9,1,-1,-3,-2,-7,-8,-8,-4,-6,-4,-3,-5,6,3,1,2,-4,-6,7,-6,8
-8,-8,-7,-1,2,0,1,1,-4,6,7,-5,6,5,-4,-4,1,3,8,2,-4,-6,2,8,6,-7,7,-7,1,3
-3,3,6,-8,-6,5,6,-5,2,4,-3,-3,-6,4,1,4,-6,-8,8,3,2,-7,-8,7,-2,-4,-3,1,4,4
-8,-4,-7,5,6,7,-5,4,3,-6,2,0,4,1,-4,-4,-5,-2,2,5,-9,-5,-5,6,3,2,-3,-1,-3,2
-5,-7,1,5,6,-8,-7,3,1,-7,6,7,-2,0,-7,-2,-8,-4,-8,-9,3,-3,5,-6,-3,7,-4,-2,0,-1
7,4,2,4,1,-7,-3,-1,-5,6,-7,6,8,4,-1,-3,7,-4,2,-1,-2,-5,8,-8,-3,5,4,8,-5,-5
6,3,-7,-5,-4,3,-1,4,5,-5,-7,5,3,4,6,3,-5,2,-4,-4,2,8,1,-1,1,1,2,1,1,-7
0,-1,-1,1,4,0,-2,1,2,-8,-6,7,8,8,7,-1,1,-6,-1,0,-8,-5,-3,4,5,-1,2,-2,8,-2
-5,4,0,3,7,1,-7,-4,-2,5,-5,-2,2,-2,1,-8,3,-2,-4,-4,-3,-2,0,3,8,3,-4,2,4,2
2,-7,8,-7,4,4,3,0,-5,4,4,3,-6,6,-7,7,-2,-9,-2,-3,-8,5,3,6,5,8,2,-8,3,6
5,-4,-6,6,5,-1,5,-1,-5,5,-6,-4,-2,-6,-1,-8,4,8,-5,-1,3,-3,1,3,0,1,6,8,-2,-6
6,-5,3,-3,3,4,6,0,-2,4,-3,-8,-6,-8,2,7,-3,7,6,2,5,-4,-1,-3,0,2,5,8,5,-6
1,0,7,2,4,-4,-5,1,-6,3,7,0,-7,8,-3,4,-6,3,4,-5,8,7,-6,-1,-4,-5,8,-7,5,-5
5,3,-2,-1,-1,8,3,7,2,-9,-6,8,-8,5,-3,-7,0,-8,-7,4,7,4,-3,4,0,0,5,5,1,1
-1,6,-1,-8,-2,-8,-4,2,6,3,-8,6,-4,4,2,2,8,3,4,-2,-8,-4,3,7,2,7,-1,4,7,-4
1,6,8,7,7,-14,19,-3,-5,12,6,-15,15,16,-5,8,13,7,-13,-1,-7,1,3,-12,2,-10,5,0,10,-11
8,-4,-7,10,4,-16,14,-3,-9,-8,-6,-12,7,7,-10,2,19,2,5,-20,-21,12,11,-11,19,-3,9,-9,14,-16
21,-8,10,6,11,-14,9,-12,-11,-10,-10,-14,13,21,-7,8,13,0,8,-8,-14,9,13,-2,1,10,4,-5,18,-8
7,-1,-7,23,2,-13,7,-4,-18,4,-12,-4,17,11,-4,2,0,-5,-21,5,1,12,11,-16,6,-14,0,-10,7,-1
