6,-7,4,6,5,-12,4,0,8,-4
3,-1,-3,-14,-7,11,4,-10,8,-13
-9,9,-15,3,11,-9,-10,12,-12,2
-5,8,7,5,-13,4,-15,3,5,8
7,-8,11,7,-10,12,-11,8,-13,-10
-11,2,6,-1,-10,-13,-3,0,12,11
4,-11,-15,7,4,2,5,-7,1,6
5,-11,-5,8,-1,7,6,-7,-11,-13
-10,8,-12,-7,9,-11,11,11,-2,8
-12,12,7,-10,4,-1,8,-6,-5,-17
7,10,7,-7,-2,-9,8,-6,-13,-7
4,-5,-7,-9,-9,9,-4,-8,4,10
7,8,-4,-10,-15,0,-10,5,2,6
6,-9,8,-7,7,-9,-8,-4,8,1
7,-1,-9,1,-12,7,-6,-1,5,-8
-5,-11,6,-10,11,7,4,-3,-18,5
8,-4,10,-11,-5,-6,5,14,-14,-9
7,2,9,4,5,-5,-13,3,9,-10
-12,12,-13,7,7,5,-13,-12,-6,8
5,-12,5,-2,7,-8,-1,-13,6,6
-15,4,4,2,4,2,4,-15,3,9
-8,-2,5,-12,5,-5,5,13,-11,6
-15,8,6,10,-11,3,-12,7,-3,-10
-13,12,6,10,-13,7,9,-6,-8,-9
8,-10,6,6,-8,7,0,4,-12,6
-12,0,-1,10,-8,-5,9,-7,6,-12
2,8,-9,-15,-3,12,12,-3,2,-11
-11,-10,-9,-4,7,10,-12,5,2,5
8,5,-12,8,-12,-8,-9,10,-9,6
-16,-10,-6,6,7,7,-14,10,6,2
