10,-9,-6,-7,-10,7,-3,7,3,-10
-18,9,9,-7,-12,6,3,7,1,-13
5,0,1,-5,-10,7,6,0,-12,-10
-10,-9,-12,9,-2,8,-11,10,3,0
-6,-8,7,-1,-10,-9,-7,-6,7,9
7,-17,0,-5,7,-2,-16,5,3,4
-10,8,7,10,5,-15,-9,10,-1,-3
-13,5,-7,4,3,0,5,-9,9,7
2,10,-8,8,-13,7,-2,-14,8,-8
-16,3,10,9,-8,5,-6,-7,4,-3
3,6,-10,6,3,5,-11,7,-8,5
-13,0,-7,-11,6,12,8,3,-3,1
-8,3,-2,-6,9,-20,1,10,6,5
2,-7,-9,-7,2,9,5,-8,-10,7
1,-12,-12,4,1,-8,6,0,10,6
6,-1,5,-1,-9,2,4,-18,6,-9
-5,10,0,-11,10,-6,-11,-3,-14,7
3,-14,13,-13,4,3,0,-6,4,1
8,-7,3,8,-9,8,-11,1,-14,10
9,-1,8,-10,-4,-10,6,8,-10,-8
-10,8,-4,8,-13,4,-13,11,-10,-3
8,-9,-4,4,5,5,-8,2,8,-10
-12,8,0,-7,-6,-6,-14,5,3,8
0,4,-6,-3,-9,-11,9,10,-8,8
-14,-2,-4,1,9,6,-8,-13,2,8
1,8,-6,-4,12,-1,11,-7,-5,-10
-8,-11,10,-2,12,3,7,-5,-2,-15
7,6,2,-8,-12,-8,-5,-8,11,-5
7,-11,9,12,5,-11,-9,3,-10,1
-12,2,7,10,-14,-5,11,-5,-6,-14
